"","Country","Continent"
"1","Algeria","Africa"
"2","Angola","Africa"
"3","Benin","Africa"
"4","Botswana","Africa"
"5","Burkina","Africa"
"6","Burundi","Africa"
"7","Cameroon","Africa"
"8","Cape Verde","Africa"
"9","Central African Republic","Africa"
"10","Chad","Africa"
"11","Comoros","Africa"
"12","Congo","Africa"
"13","Congo, Democratic Republic of","Africa"
"14","Djibouti","Africa"
"15","Egypt","Africa"
"16","Equatorial Guinea","Africa"
"17","Eritrea","Africa"
"18","Ethiopia","Africa"
"19","Gabon","Africa"
"20","Gambia","Africa"
"21","Ghana","Africa"
"22","Guinea","Africa"
"23","Guinea-Bissau","Africa"
"24","Ivory Coast","Africa"
"25","Kenya","Africa"
"26","Lesotho","Africa"
"27","Liberia","Africa"
"28","Libya","Africa"
"29","Madagascar","Africa"
"30","Malawi","Africa"
"31","Mali","Africa"
"32","Mauritania","Africa"
"33","Mauritius","Africa"
"34","Morocco","Africa"
"35","Mozambique","Africa"
"36","Namibia","Africa"
"37","Niger","Africa"
"38","Nigeria","Africa"
"39","Rwanda","Africa"
"40","Sao Tome and Principe","Africa"
"41","Senegal","Africa"
"42","Seychelles","Africa"
"43","Sierra Leone","Africa"
"44","Somalia","Africa"
"45","South Africa","Africa"
"46","South Sudan","Africa"
"47","Sudan","Africa"
"48","Swaziland","Africa"
"49","Tanzania","Africa"
"50","Togo","Africa"
"51","Tunisia","Africa"
"52","Uganda","Africa"
"53","Zambia","Africa"
"54","Zimbabwe","Africa"
"55","Afghanistan","Asia"
"56","Bahrain","Asia"
"57","Bangladesh","Asia"
"58","Bhutan","Asia"
"59","Brunei","Asia"
"60","Burma (Myanmar)","Asia"
"61","Cambodia","Asia"
"62","China","Asia"
"63","East Timor","Asia"
"64","India","Asia"
"65","Indonesia","Asia"
"66","Iran","Asia"
"67","Iraq","Asia"
"68","Israel","Asia"
"69","Japan","Asia"
"70","Jordan","Asia"
"71","Kazakhstan","Asia"
"72","Korea, North","Asia"
"73","Korea, South","Asia"
"74","Kuwait","Asia"
"75","Kyrgyzstan","Asia"
"76","Laos","Asia"
"77","Lebanon","Asia"
"78","Malaysia","Asia"
"79","Maldives","Asia"
"80","Mongolia","Asia"
"81","Nepal","Asia"
"82","Oman","Asia"
"83","Pakistan","Asia"
"84","Philippines","Asia"
"85","Qatar","Asia"
"86","Russian Federation","Asia"
"87","Saudi Arabia","Asia"
"88","Singapore","Asia"
"89","Sri Lanka","Asia"
"90","Syria","Asia"
"91","Tajikistan","Asia"
"92","Thailand","Asia"
"93","Turkey","Asia"
"94","Turkmenistan","Asia"
"95","United Arab Emirates","Asia"
"96","Uzbekistan","Asia"
"97","Vietnam","Asia"
"98","Yemen","Asia"
"99","Albania","Europe"
"100","Andorra","Europe"
"101","Armenia","Europe"
"102","Austria","Europe"
"103","Azerbaijan","Europe"
"104","Belarus","Europe"
"105","Belgium","Europe"
"106","Bosnia and Herzegovina","Europe"
"107","Bulgaria","Europe"
"108","Croatia","Europe"
"109","Cyprus","Europe"
"110","CZ","Europe"
"111","Denmark","Europe"
"112","Estonia","Europe"
"113","Finland","Europe"
"114","France","Europe"
"115","Georgia","Europe"
"116","Germany","Europe"
"117","Greece","Europe"
"118","Hungary","Europe"
"119","Iceland","Europe"
"120","Ireland","Europe"
"121","Italy","Europe"
"122","Latvia","Europe"
"123","Liechtenstein","Europe"
"124","Lithuania","Europe"
"125","Luxembourg","Europe"
"126","Macedonia","Europe"
"127","Malta","Europe"
"128","Moldova","Europe"
"129","Monaco","Europe"
"130","Montenegro","Europe"
"131","Netherlands","Europe"
"132","Norway","Europe"
"133","Poland","Europe"
"134","Portugal","Europe"
"135","Romania","Europe"
"136","San Marino","Europe"
"137","Serbia","Europe"
"138","Slovakia","Europe"
"139","Slovenia","Europe"
"140","Spain","Europe"
"141","Sweden","Europe"
"142","Switzerland","Europe"
"143","Ukraine","Europe"
"144","United Kingdom","Europe"
"145","Vatican City","Europe"
"146","Antigua and Barbuda","North America"
"147","Bahamas","North America"
"148","Barbados","North America"
"149","Belize","North America"
"150","Canada","North America"
"151","Costa Rica","North America"
"152","Cuba","North America"
"153","Dominica","North America"
"154","Dominican Republic","North America"
"155","El Salvador","North America"
"156","Grenada","North America"
"157","Guatemala","North America"
"158","Haiti","North America"
"159","Honduras","North America"
"160","Jamaica","North America"
"161","Mexico","North America"
"162","Nicaragua","North America"
"163","Panama","North America"
"164","Saint Kitts and Nevis","North America"
"165","Saint Lucia","North America"
"166","Saint Vincent and the Grenadines","North America"
"167","Trinidad and Tobago","North America"
"168","US","North America"
"169","Australia","Oceania"
"170","Fiji","Oceania"
"171","Kiribati","Oceania"
"172","Marshall Islands","Oceania"
"173","Micronesia","Oceania"
"174","Nauru","Oceania"
"175","New Zealand","Oceania"
"176","Palau","Oceania"
"177","Papua New Guinea","Oceania"
"178","Samoa","Oceania"
"179","Solomon Islands","Oceania"
"180","Tonga","Oceania"
"181","Tuvalu","Oceania"
"182","Vanuatu","Oceania"
"183","Argentina","South America"
"184","Bolivia","South America"
"185","Brazil","South America"
"186","Chile","South America"
"187","Colombia","South America"
"188","Ecuador","South America"
"189","Guyana","South America"
"190","Paraguay","South America"
"191","Peru","South America"
"192","Suriname","South America"
"193","Uruguay","South America"
"194","Venezuela","South America"
